DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
01/01/2022,63.0,4:13:00,15.00%,18.00%,0.00%,06:10am - 10:52am
01/02/2022,90.0,8:09:00,22.00%,18.00%,92.00%,02:51am - 11:59am
01/03/2022,83.0,7:27:00,16.00%,13.00%,96.00%,11:27pm - 08:28am
01/04/2022,90.0,7:25:00,19.00%,21.00%,99.00%,10:52pm - 07:19am
01/05/2022,81.0,7:10:00,18.00%,15.00%,89.00%,10:42pm - 06:57am
01/06/2022,82.0,6:46:00,14.00%,16.00%,96.00%,11:59pm - 07:53am
01/07/2022,84.0,6:48:00,19.00%,21.00%,96.00%,10:10pm - 5:58am
01/08/2022,83.0,7:37:00,12.00%,17.00%,98.00%,11:04pm - 8:05am
01/09/2022,87.0,7:47:00,20.00%,12.00%,98.00%,11:13pm - 8:06am
01/10/2022,91.0,7:26:00,23.00%,18.00%,96.00%,10:37pm - 7:09am
01/11/2022,85.0,6:59:00,31.00%,24.00%,71.00%,11:29pm - 7:13am
01/12/2022,91.0,8:08:00,27.00%,16.00%,98.00%,10:37pm - 7:26am
01/13/2022,90.0,7:32:00,24.00%,19.00%,93.00%,11:16pm - 7:35am
01/14/2022,84.0,7:10:00,25.00%,17.00%,86.00%,10:59pm - 7:02am
01/15/2022,83.0,7:14:00,23.00%,18.00%,68.00%,11:47pm - 8:03am
01/16/2022,87.0,7:26:00,19.00%,15.00%,86.00%,10:49pm - 7:40am
01/17/2022,85.0,8:05:00,24.00%,15.00%,58.00%,11:22pm - 8:27am
01/18/2022,82.0,7:12:00,21.00%,19.00%,72.00%,11:04pm - 7:35am
01/19/2022,88.0,7:56:00,17.00%,16.00%,97.00%,10:13pm - 7:02am
01/20/2022,91.0,8:42:00,21.00%,14.00%,94.00%,11:35pm - 9:04am
01/21/2022,84.0,6:28:00,21.00%,15.00%,96.00%,11:54pm - 7:22am
01/22/2022,85.0,8:04:00,22.00%,17.00%,57.00%,10:47pm - 8:01am
01/23/2022,87.0,8:04:00,26.00%,23.00%,54.00%,11:50pm - 8:51am
01/24/2022,88.0,7:45:00,22.00%,18.00%,95.00%,10:27pm - 7:32am
01/25/2022,86.0,7:39:00,20.00%,19.00%,74.00%,10:08pm - 7:02am
01/26/2022,86.0,7:09:00,25.00%,16.00%,97.00%,10:41pm - 6:35am
01/27/2022,88.0,6:52:00,26.00%,24.00%,96.00%,10:25pm - 6:07am
01/28/2022,91.0,7:42:00,20.00%,18.00%,92.00%,10:20pm - 7:05am
01/29/2022,87.0,7:37:00,22.00%,20.00%,57.00%,11:49pm - 8:26am
01/30/2022,80.0,8:27:00,12.00%,12.00%,71.00%,10:27pm - 8:26am
01/31/2022,82.0,7:21:00,16.00%,15.00%,59.00%,11:28pm - 7:50am
03/01/2022,81.0,6:47:00,19.00%,15.00%,91.00%,11:32pm - 7:42am
03/02/2022,86.0,7:36:00,14.00%,17.00%,97.00%,11:02pm - 7:41am
03/03/2022,83.0,7:59:00,20.00%,13.00%,44.00%,11:07pm - 8:01am
03/04/2022,84.0,8:29:00,18.00%,13.00%,99.00%,10:42pm - 8:44am
03/05/2022,87.0,8:30:00,20.00%,19.00%,72.00%,11:33pm - 9:10am
03/07/2022,86.0,7:29:00,20.00%,16.00%,69.00%,11:45pm - 8:29am
03/08/2022,71.0,5:42:00,13.00%,0.00%,59.00%,1:40am - 8:14am
03/09/2022,82.0,8:22:00,15.00%,16.00%,43.00%,12:22am - 9:47am
03/10/2022,87.0,7:59:00,17.00%,19.00%,92.00%,11:01pm - 7:59am
03/11/2022,84.0,8:13:00,12.00%,17.00%,84.00%,10:50pm - 8:13am
03/12/2022,84.0,7:37:00,18.00%,20.00%,36.00%,12:42am - 9:16am
03/13/2022,87.0,7:28:00,23.00%,21.00%,54.00%,11:47pm - 9:11am
03/14/2022,82.0,7:14:00,17.00%,17.00%,76.00%,10:47pm - 7:16am
03/15/2022,89.0,7:33:00,20.00%,25.00%,87.00%,10:46pm - 7:22am
03/16/2022,89.0,7:47:00,25.00%,16.00%,89.00%,10:26pm - 7:10am
03/17/2022,87.0,8:17:00,22.00%,14.00%,93.00%,10:32pm - 8:13am
03/18/2022,79.0,7:12:00,12.00%,16.00%,80.00%,10:47pm - 6:58am
03/20/2022,87.0,8:16:00,27.00%,18.00%,67.00%,11:57pm - 9:14am
03/21/2022,84.0,8:09:00,15.00%,15.00%,91.00%,10:36pm - 8:13am
03/22/2022,86.0,7:07:00,25.00%,17.00%,97.00%,10:58pm - 7:00am
03/23/2022,85.0,7:25:00,20.00%,21.00%,43.00%,10:27pm - 6:46am
03/24/2022,25.0,7:52:00,21.00%,18.00%,52.00%,11:42pm - 8:32am
03/25/2022,81.0,8:10:00,18.00%,22.00%,10.00%,11:25pm - 8:42am
03/26/2022,87.0,8:54:00,21.00%,11.00%,98.00%,10:52pm - 9:12am
03/27/2022,86.0,7:03:00,20.00%,15.00%,95.00%,12:04am - 8:02am
03/28/2022,80.0,6:33:00,14.00%,22.00%,95.00%,10:12pm - 5:51am
03/29/2022,86.0,6:59:00,22.00%,23.00%,93.00%,10:00pm - 5:51am
03/30/2022,87.0,6:34:00,20.00%,20.00%,96.00%,10:08pm - 5:29am
03/31/2022,91.0,7:38:00,30.00%,21.00%,92.00%,9:41pm - 5:56am
04/01/2022,90.0,7:22:00,18.00%,21.00%,98.00%,9:49pm - 6:01am
04/02/2022,89.0,8:40:00,21.00%,21.00%,73.00%,9:50pm - 7:26am
04/03/2022,81.0,8:52:00,21.00%,17.00%,26.00%,11:29pm - 9:54am
04/04/2022,83.0,6:50:00,17.00%,19.00%,99.00%,10:12pm - 5:49am
04/05/2022,84.0,6:57:00,18.00%,21.00%,97.00%,9:45pm - 5:43am
04/06/2022,83.0,7:27:00,17.00%,19.00%,77.00%,9:22pm - 6:14am
04/07/2022,87.0,7:57:00,22.00%,14.00%,68.00%,10:05pm - 6:55am
04/08/2022,83.0,7:27:00,19.00%,18.00%,71.00%,9:42pm - 6:36am
04/09/2022,87.0,8:12:00,19.00%,15.00%,71.00%,11:27pm - 8:36am
04/10/2022,83.0,6:57:00,15.00%,18.00%,96.00%,12:53am - 8:39am
04/11/2022,88.0,7:39:00,17.00%,19.00%,98.00%,9:35pm - 6:02am
04/12/2022,86.0,8:00:00,20.00%,19.00%,73.00%,9:52pm - 7:10am
04/13/2022,82.0,7:48:00,11.00%,13.00%,73.00%,10:51pm - 8:02am
